Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR8668755_10K_subsample	SRR8668755_10K_subsample.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10000.0	744.8 kbp	0.0	35-75	50.0	87.01	74.4869	75	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR8668756_10K_subsample	SRR8668756_10K_subsample.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10000.0	743.1 kbp	0.0	35-75	48.0	93.19	74.3183	75	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR8668757_10K_subsample	SRR8668757_10K_subsample.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10000.0	744.7 kbp	0.0	35-75	47.0	91.78	74.4711	75	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR8668758_10K_subsample	SRR8668758_10K_subsample.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10000.0	727.3 kbp	0.0	35-75	49.0	92.17	72.7371	75	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR8668759_10K_subsample	SRR8668759_10K_subsample.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10000.0	727.8 kbp	0.0	35-75	57.0	79.09	72.7883	75	pass	pass	pass	fail	fail	pass	warn	pass	fail	warn
SRR8668769_10K_subsample	SRR8668769_10K_subsample.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10000.0	744.8 kbp	0.0	35-75	53.0	87.75	74.4802	75	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
SRR8668771_10K_subsample	SRR8668771_10K_subsample.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10000.0	745.1 kbp	0.0	35-75	52.0	86.49	74.5171	75	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
SRR8668772_10K_subsample	SRR8668772_10K_subsample.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10000.0	744.7 kbp	0.0	40-75	50.0	88.42	74.479	75	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
SRR8668773_10K_subsample	SRR8668773_10K_subsample.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10000.0	744.6 kbp	0.0	35-75	50.0	91.16	74.4618	75	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
SRR8668774_10K_subsample	SRR8668774_10K_subsample.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10000.0	738.3 kbp	0.0	35-75	49.0	91.17	73.8314	75	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
