Module	Section	Sample Name	Source
FastQC	all_sections	SRR8668774_10K_subsample	/Users/marisolh/Documents/diy_course_dataset/Lab_02/SRR8668774_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668759_10K_subsample	/Users/marisolh/Documents/diy_course_dataset/Lab_02/SRR8668759_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668755_10K_subsample	/Users/marisolh/Documents/diy_course_dataset/Lab_02/SRR8668755_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668758_10K_subsample	/Users/marisolh/Documents/diy_course_dataset/Lab_02/SRR8668758_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668771_10K_subsample	/Users/marisolh/Documents/diy_course_dataset/Lab_02/SRR8668771_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668756_10K_subsample	/Users/marisolh/Documents/diy_course_dataset/Lab_02/SRR8668756_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668769_10K_subsample	/Users/marisolh/Documents/diy_course_dataset/Lab_02/SRR8668769_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668773_10K_subsample	/Users/marisolh/Documents/diy_course_dataset/Lab_02/SRR8668773_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668772_10K_subsample	/Users/marisolh/Documents/diy_course_dataset/Lab_02/SRR8668772_10K_subsample_fastqc.zip
FastQC	all_sections	SRR8668757_10K_subsample	/Users/marisolh/Documents/diy_course_dataset/Lab_02/SRR8668757_10K_subsample_fastqc.zip
